pk,sid,name,access,licence,group_count,individual_count,intervention_count,output_count,timecourse_count,scatter_count,title,pmid,substances
903,PKDB00007,Barnett1990,public,closed,1,6,3,228,12,0,Pharmacokinetic determination of relative potency of quinolone inhibition of caffeine disposition.,2177401,caf caffeine caffeine (137x) pipemidic-acid pipemidic acid pipemidic acid norfloxacin norfloxacin norfloxacin
904,PKDB00434,Bchir2006,public,closed,3,0,1,36,2,0,Differences in pharmacokinetic and electroencephalographic responses to caffeine in sleep-sensitive and non-sensitive subjects.,16797457,caf caffeine caffeine (137x)
906,PKDB00435,Becker1984,public,closed,3,0,2,42,2,0,The bronchodilator effects and pharmacokinetics of caffeine in asthma.,6700656,caf caffeine caffeine (137x) tp theophylline theophylline (13x)
907,PKDB00009,Begas2007,public,closed,9,0,1,18,0,0,"In vivo evaluation of CYP1A2, CYP2A6, NAT-2 and xanthine oxidase activities in a Greek population sample by the RP-HPLC monitoring of caffeine metabolic ratios.",17221922,"caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) 17u 17u 1,7-dimethyluric acid (17u) 1x 1x 1-methylxanthine (1x) 1u 1u 1-methyluric acid (1u) afmu afmu 5-acetylamino-6-formylamino-3-methyluracil (afmu)"
908,PKDB00436,Begas2015,public,closed,5,74,3,125,0,1,Development and validation of a reversed-phase HPLC method for CYP1A2 phenotyping by use of a caffeine metabolite ratio in saliva.,25891161,"caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) 17u 17u 1,7-dimethyluric acid (17u) 1x 1x 1-methylxanthine (1x) 1u 1u 1-methyluric acid (1u) afmu afmu 5-acetylamino-6-formylamino-3-methyluracil (afmu)"
910,PKDB00011,Benowitz2003,public,closed,4,20,4,213,6,0,Effects of cigarette smoking and carbon monoxide on chlorzoxazone and caffeine metabolism.,14586387,caf caffeine caffeine (137x) 1x 1x 1-methylxanthine (1x) 1u 1u 1-methyluric acid (1u) aamu aamu 5-acetylamino-6-amino-3-methyluracil (aamu) chlorzoxazone chlorzoxazone chlorzoxazone 6-hydroxychlorzoxazone 6-hydroxychlorzoxazone 6-hydroxychlorzoxazone carbon-monoxide carbon monoxide carbon monoxide (co)
911,PKDB00012,Birkett1991,public,open,1,41,1,94,0,1,Caffeine renal clearance and urine caffeine concentrations during steady state dosing. Implications for monitoring caffeine intake during sports events.,2049248,caf caffeine caffeine (137x)
913,PKDB00210,Blanchard1983,public,closed,3,31,2,74,0,4,Relationship between urine flow rate and renal clearance of caffeine in man.,6863577,caf caffeine caffeine (137x)
915,PKDB00378,Blanchard1985,public,closed,3,0,2,52,0,0,Comparison of the urinary metabolite profile of caffeine in young and elderly males.,3986081,"caf caffeine caffeine (137x) 137u 137u 1,3,7-trimethyluric acid (137u) px paraxanthine paraxanthine (17x) 17u 17u 1,7-dimethyluric acid (17u) tp theophylline theophylline (13x) 13u 13u 1,3-dimethyluric acid (13u) tb theobromine theobromine (37x) 1x 1x 1-methylxanthine (1x) 1u 1u 1-methyluric acid (1u) 3x 3x 3-methylxanthine (3x) 7x 7x 7-methylxanthine (7x) 7u 7u 7-methyluric acid (7u)"
917,PKDB00437,Bozikas2004,public,closed,5,0,1,8,0,0,Smoking impact on CYP1A2 activity in a group of patients with schizophrenia.,14659985,"caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) 17u 17u 1,7-dimethyluric acid (17u) 1x 1x 1-methylxanthine (1x) 1u 1u 1-methyluric acid (1u) afmu afmu 5-acetylamino-6-formylamino-3-methyluracil (afmu)"
918,PKDB00438,Brazier1980,public,closed,1,4,15,172,3,0,Inhibition by idrocilamide of the disposition of caffeine.,7371698,idrocilamide idrocilamide idrocilamide caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x)
919,PKDB00439,Broughton1981,public,closed,1,5,2,100,0,0,Decreased systemic clearance of caffeine due to cimetidine.,7306430,caf caffeine caffeine (137x) cimetidine cimetidine cimetidine
921,PKDB00440,Bruce1986,public,closed,1,0,2,48,4,0,The psychopharmacological and electrophysiological effects of single doses of caffeine in healthy human subjects.,3741730,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x)
924,PKDB00443,Callahan1983,public,closed,5,12,1,357,18,0,Comparison of caffeine metabolism in three nonsmoking populations after oral administration of radiolabeled caffeine.,6135578,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) tb theobromine theobromine (37x) 1x 1x 1-methylxanthine (1x) 1u 1u 1-methyluric acid (1u) aamu aamu 5-acetylamino-6-amino-3-methyluracil (aamu)
926,PKDB00016,Carbo1989,public,closed,1,6,3,246,3,0,Effect of quinolones on caffeine disposition.,2920498,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) tp theophylline theophylline (13x) tb theobromine theobromine (37x) 1x 1x 1-methylxanthine (1x) pipemidic-acid pipemidic acid pipemidic acid norfloxacin norfloxacin norfloxacin
927,PKDB00017,Carrillo2000a,public,closed,7,0,1,288,16,0,"Evaluation of caffeine as an in vivo probe for CYP1A2 using measurements in plasma, saliva, and urine.",10942180,"caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) 17u 17u 1,7-dimethyluric acid (17u) 1x 1x 1-methylxanthine (1x) 1u 1u 1-methyluric acid (1u) afmu afmu 5-acetylamino-6-formylamino-3-methyluracil (afmu)"
929,PKDB00445,Chen2009,public,closed,1,0,2,100,4,0,Effect of sodium tanshinone II A sulfonate on the activity of CYP1A2 in healthy volunteers.,19534587,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) sodium-tanshinone-2a-sulfonate sodium tanshinone ii a sulfonate sodium tanshinone ii a sulfonate
930,PKDB00446,Chen2009b,public,closed,1,46,2,222,4,0,"Simultaneous action of the flavonoid quercetin on cytochrome P450 (CYP) 1A2, CYP2A6, N-acetyltransferase and xanthine oxidase activity in healthy volunteers.",19215233,"caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) 17u 17u 1,7-dimethyluric acid (17u) 1x 1x 1-methylxanthine (1x) 1u 1u 1-methyluric acid (1u) afmu afmu 5-acetylamino-6-formylamino-3-methyluracil (afmu) quercetin quercetin quercetin"
931,PKDB00447,Chen2010,public,closed,1,56,2,242,4,0,"Plant polyphenol curcumin significantly affects CYP1A2 and CYP2A6 activity in healthy, male Chinese volunteers.",20484172,"caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) 17u 17u 1,7-dimethyluric acid (17u) 1x 1x 1-methylxanthine (1x) 1u 1u 1-methyluric acid (1u) afmu afmu 5-acetylamino-6-formylamino-3-methyluracil (afmu) curcumin curcumin curcumin"
933,PKDB00448,Chia2016,public,closed,14,197,1,437,0,4,Establishing population distribution of drug-metabolizing enzyme activities for the use of salivary caffeine as a dynamic liver function marker in a Singaporean Chinese population.,26862045,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x)
934,PKDB00449,Christensen2002,public,closed,3,12,5,96,0,0,Low daily 10-mg and 20-mg doses of fluvoxamine inhibit the metabolism of both caffeine (cytochrome P4501A2) and omeprazole (cytochrome P4502C19).,11907488,caf caffeine caffeine (137x) fluvoxamine fluvoxamine fluvoxamine
935,PKDB00450,Cook1976,public,open,3,19,1,38,0,1,Caffeine in plasma and saliva by a radioimmunoassay procedure.,1033273,caf caffeine caffeine (137x)
936,PKDB00128,Cornish1957,public,open,1,2,3,60,0,0,"A study of the metabolism of theobromine, theophylline, and caffeine in man.",13475320,"caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) tp theophylline theophylline (13x) 13u 13u 1,3-dimethyluric acid (13u) tb theobromine theobromine (37x) 1x 1x 1-methylxanthine (1x) 1u 1u 1-methyluric acid (1u) 3x 3x 3-methylxanthine (3x) 7x 7x 7-methylxanthine (7x) 7u 7u 7-methyluric acid (7u)"
937,PKDB00019,CulmMerdek2005,public,open,1,0,5,124,6,0,Fluvoxamine impairs single-dose caffeine clearance without altering caffeine pharmacodynamics.,16236038,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) tp theophylline theophylline (13x) tb theobromine theobromine (37x) fluvoxamine fluvoxamine fluvoxamine
938,PKDB00451,Cysneiros2007,public,closed,1,0,3,188,7,0,Pharmacokinetic and pharmacodynamic interactions between zolpidem and caffeine.,17443132,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) tp theophylline theophylline (13x) tb theobromine theobromine (37x) zolpidem zolpidem zolpidem
939,PKDB00328,Darwish2008,public,closed,6,0,6,282,8,0,"Interaction profile of armodafinil with medications metabolized by cytochrome P450 enzymes 1A2, 3A4 and 2C19 in healthy subjects.",18076219,caf caffeine caffeine (137x) armodafinil armodafinil armodafinil modafinil-sulfone modafinil sulfone modafinil sulfone midazolam midazolam midazolam 1-hydroxymidazolam 1-hydroxymidazolam 1-hydroxymidazolam omeprazole omeprazole omeprazole 5-hydroxyomeprazole 5-hydroxyomeprazole 5-hydroxyomeprazole
941,PKDB00452,Dinger2016,public,closed,1,0,3,9,0,0,Cytochrome P450 inhibition potential of new psychoactive substances of the tryptamine class.,26599973,caf caffeine caffeine (137x) fluvoxamine fluvoxamine fluvoxamine 5-meo-dalt 5-meo-dalt 5-meo-dalt
942,PKDB00453,Djordjevic2008,public,closed,15,0,1,12,0,0,Induction of CYP1A2 by heavy coffee consumption in Serbs and Swedes.,18157525,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x)
945,PKDB00032,Faber2004,public,closed,3,24,1,26,0,0,Time response of cytochrome P450 1A2 activity on cessation of heavy smoking.,15289794,caf caffeine caffeine (137x)
946,PKDB00033,Fuhr1993a,public,open,3,12,2,104,0,0,"Inhibitory effect of grapefruit juice and its bitter principal, naringenin, on CYP1A2 dependent metabolism of caffeine in man.",8485024,grapefruit-juice grapefruit juice grapefruit juice caf caffeine caffeine (137x)
947,PKDB00454,Furge2006,public,closed,1,10,1,116,0,0,HPLC determination of caffeine and paraxanthine in urine: An assay for cytochrome P450 1A2 activity.,21591074,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x)
948,PKDB00034,George1986,public,closed,5,20,2,64,0,0,Influence of alcohol and caffeine consumption on caffeine elimination.,3802578,caf caffeine caffeine (137x) antipyrine antipyrine antipyrine
949,PKDB00035,Ghassabian2009,public,closed,1,11,5,33,0,0,A high-throughput assay using liquid chromatography-tandem mass spectrometry for simultaneous in vivo phenotyping of 5 major cytochrome p450 enzymes in patients.,19307938,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) midazolam midazolam midazolam losartan losartan losartan omeprazole omeprazole omeprazole 5-hydroxyomeprazole 5-hydroxyomeprazole 5-hydroxyomeprazole dmt dextromethorphan dextromethorphan
950,PKDB00036,Granfors2005,public,closed,3,30,1,62,0,0,Oral contraceptives containing ethinyl estradiol and gestodene markedly increase plasma concentrations and effects of tizanidine by inhibiting cytochrome P450 1A2.,16198659,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x)
952,PKDB00456,Gurley2005a,public,closed,1,42,6,92,0,0,"Clinical assessment of effects of botanical supplementation on cytochrome P450 phenotypes in the elderly: St John's wort, garlic oil, Panax ginseng and Ginkgo biloba.",15974642,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) midazolam midazolam midazolam st-johns-wort-extract st john's wort extract st. john's wort extract panax-ginseng panax ginseng panax ginseng garlic-oil garlic oil garlic oil ginkgo-biloba ginkgo biloba ginkgo biloba
953,PKDB00457,Gurley2005b,public,closed,1,40,6,88,0,0,"In vivo effects of goldenseal, kava kava, black cohosh, and valerian on human cytochrome P450 1A2, 2D6, 2E1, and 3A4/5 phenotypes.",15900287,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) midazolam midazolam midazolam goldenseal-root-extract goldenseal root extract goldenseal root extract kava-kava-root-extract kava kava root extract kava kava root extract black-cohosh-root-extract black cohosh root extract black cohosh root extract valerian-root-extract valerian root extract valerian root extract
955,PKDB00458,HamonVilcot2004,public,closed,3,85,1,118,0,0,Effects of malnutrition on cytochrome P450 1A2 activity in elderly patients.,15359622,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x)
956,PKDB00038,Harder1988,public,closed,1,0,37,160,0,0,4-quinolones inhibit biotransformation of caffeine.,2853056,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) ciprofloxacin ciprofloxacin ciprofloxacin enoxacin enoxacin enoxacin pipemidic-acid pipemidic acid pipemidic acid norfloxacin norfloxacin norfloxacin ofloxacin ofloxacin ofloxacin
958,PKDB00459,Hashiguchi1992,public,closed,1,18,2,72,2,2,Diurnal effect on caffeine clearance.,1613129,"caf caffeine caffeine (137x) 17u 17u 1,7-dimethyluric acid (17u) 1x 1x 1-methylxanthine (1x) 1u 1u 1-methyluric acid (1u) afmu afmu 5-acetylamino-6-formylamino-3-methyluracil (afmu)"
959,PKDB00460,He2017,public,closed,3,8,4,433,39,0,Assessment of the Drug-Drug Interaction Potential Between Theacrine and Caffeine in Humans.,28875060,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) theacrine theacrine theacrine
960,PKDB00040,Healy1989,public,open,1,0,4,20,0,0,Interaction between oral ciprofloxacin and caffeine in normal volunteers.,2729942,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) ciprofloxacin ciprofloxacin ciprofloxacin
963,PKDB00461,Holstege1989,public,closed,7,70,1,571,8,6,Correlation of caffeine elimination and Child's classification in liver cirrhosis.,2921843,albumin albumin albumin bilirubin bilirubin bilirubin galactose galactose galactose caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) tp theophylline theophylline (13x) tb theobromine theobromine (37x)
161,PKDB00598,Lenuzza2016,public,closed,1,179,10,3404,179,0,Safety and pharmacokinetics of the CIME combination of drugs and their metabolites after a single oral dosing in healthy volunteers.,25465228,apap paracetamol paracetamol apapglu paracetamol glucuronide paracetamol glucuronide caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) midazolam midazolam midazolam 1-hydroxymidazolam 1-hydroxymidazolam 1-hydroxymidazolam tolbutamide tolbutamide tolbutamide 4-hydroxytolbutamide 4-hydroxytolbutamide 4-hydroxytolbutamide digoxin digoxin digoxin omeprazole omeprazole omeprazole 5-hydroxyomeprazole 5-hydroxyomeprazole 5-hydroxyomeprazole omeprazole-sulfone omeprazole sulfone omeprazole sulfone dmt dextromethorphan dextromethorphan dtf dextrorphan dextrorphan rosuvastatin rosuvastatin rosuvastatin repaglinide repaglinide repaglinide hydroxyrepaglinide hydroxy repaglinide hydroxy repaglinide memantine memantine memantine
176,PKDB00498,Tamminga2001b,public,closed,5,191,3,191,0,0,The prevalence of CYP2D6 and CYP2C19 genotypes in a population of healthy Dutch volunteers.,11829201,caf caffeine caffeine (137x) mep mephenytoin mephenytoin dmthbr dextromethorphan hydrobromide dextromethorphan hydrobromide dmt dextromethorphan dextromethorphan dtf dextrorphan dextrorphan dtfglu dextrorphan-glucuronide dextrorphan o-glucuronide
346,PKDB00195,Clements1984,public,open,1,0,5,98,4,0,The role of sulphate conjugation in the metabolism and disposition of oral and intravenous paracetamol in man.,6487489,apap paracetamol paracetamol apapglu paracetamol glucuronide paracetamol glucuronide apapsul paracetamol sulfate paracetamol sulfate apapmer paracetamol mercapturate paracetamol mercapturate caf caffeine caffeine (137x)
370,PKDB00028,Iqbal1995,public,closed,1,0,2,54,2,0,The effect of caffeine on the pharmacokinetics of acetaminophen in man.,7579030,apap paracetamol paracetamol caf caffeine caffeine (137x)
413,PKDB00151,Prescott1981,public,open,3,0,3,126,6,0,Effects of microsomal enzyme induction on paracetamol metabolism in man.,7306429,apap paracetamol paracetamol apapglu paracetamol glucuronide paracetamol glucuronide apapsul paracetamol sulfate paracetamol sulfate apapcys paracetamol cysteine paracetamol cysteine apapmer paracetamol mercapturate paracetamol mercapturate caf caffeine caffeine (137x) antipyrine antipyrine antipyrine
415,PKDB00224,Prescott1993,public,closed,3,0,2,84,3,0,Impaired absorption of paracetamol in vegetarians.,9114910,apap paracetamol paracetamol apapglu paracetamol glucuronide paracetamol glucuronide apapsul paracetamol sulfate paracetamol sulfate apapcys paracetamol cysteine paracetamol cysteine apapgsh paracetamol glutathione paracetamol glutathione apapmer paracetamol mercapturate paracetamol mercapturate caf caffeine caffeine (137x)
965,PKDB00043,Jeppesen1996,public,closed,1,0,2,158,8,0,A fluvoxamine-caffeine interaction study.,8807660,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) tp theophylline theophylline (13x) tb theobromine theobromine (37x) fluvoxamine fluvoxamine fluvoxamine
967,PKDB00385,Joeres1987,public,closed,3,35,3,135,3,0,Influence of mexiletine on caffeine elimination.,3628469,caf caffeine caffeine (137x) mexiletine mexiletine mexiletine
968,PKDB00044,Joeres1988,public,closed,6,71,3,107,0,0,Influence of smoking on caffeine elimination in healthy volunteers and in patients with alcoholic liver cirrhosis.,3371873,caf caffeine caffeine (137x)
969,PKDB00463,Jost1987,public,closed,4,281,4,872,76,4,Overnight salivary caffeine clearance: a liver function test suitable for routine use.,3557314,icg indocyanine green indocyanine green galactose galactose galactose caf caffeine caffeine (137x)
970,PKDB00137,Kakuda2014,public,closed,1,0,7,186,15,0,The effect of single- and multiple-dose etravirine on a drug cocktail of representative cytochrome P450 probes and digoxin in healthy subjects.,24165884,caf caffeine caffeine (137x) etravirine etravirine etravirine midazolam midazolam midazolam warfarin warfarin warfarin omeprazole omeprazole omeprazole dmt dextromethorphan dextromethorphan
976,PKDB00046,Koch1999,public,closed,1,6,1,6,0,0,Validation of a high-performance liquid chromatography assay for quantification of caffeine and paraxanthine in human serum in the context of CYP1A2 phenotyping.,10416066,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x)
977,PKDB00469,Kukongviriyapan2004,public,closed,13,30,1,81,0,1,Salivary caffeine metabolic ratio in alcohol-dependent subjects.,15022032,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x)
978,PKDB00470,Laizure2017,public,closed,3,0,2,156,8,0,Comparison of caffeine disposition following administration by oral solution (energy drink) and inspired powder (AeroShot) in human subjects.,28758694,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) tp theophylline theophylline (13x) tb theobromine theobromine (37x)
979,PKDB00471,Lammers2018,public,closed,3,221,5,606,16,10,Short-Term Fasting Alters Pharmacokinetics of Cytochrome P450 Probe Drugs: Does Protein Binding Play a Role?,28929443,caf caffeine caffeine (137x) midazolam midazolam midazolam metoprolol metoprolol metoprolol warfarin warfarin warfarin omeprazole omeprazole omeprazole
982,PKDB00047,Lelo1986a,public,open,1,1,4,163,8,0,"Comparative pharmacokinetics of caffeine and its primary demethylated metabolites paraxanthine, theobromine and theophylline in man.",3756065,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) tp theophylline theophylline (13x) tb theobromine theobromine (37x)
984,PKDB00049,Magnusson2008,public,closed,1,7,3,243,21,0,"Pharmacodynamics of carbamazepine-mediated induction of CYP3A4, CYP1A2, and Pgp as assessed by probe substrates midazolam, caffeine, and digoxin.",17971810,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) midazolam midazolam midazolam digoxin digoxin digoxin
988,PKDB00474,McDonagh1991,public,closed,9,97,1,110,0,0,"Caffeine clearance by enzyme multiplied immunoassay technique: a simple, inexpensive, and useful indicator of liver function.",2060878,caf caffeine caffeine (137x)
990,PKDB00475,McQuilkin1995,public,closed,3,21,1,377,26,0,Analysis of within-subject variation of caffeine metabolism when used to determine cytochrome P4501A2 and N-acetyltransferase-2 activities.,7742721,"caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) 17u 17u 1,7-dimethyluric acid (17u) 1x 1x 1-methylxanthine (1x) afmu afmu 5-acetylamino-6-formylamino-3-methyluracil (afmu)"
992,PKDB00052,Murphy1988,public,closed,5,0,2,16,0,0,The effect of smoking on caffeine elimination: implications for its use as a semiquantitative test of liver function.,2482799,caf caffeine caffeine (137x) antipyrine antipyrine antipyrine
993,PKDB00476,Muscat2008,public,closed,21,0,1,32,0,0,Comparison of CYP1A2 and NAT2 phenotypes between black and white smokers.,18703023,"caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) 17u 17u 1,7-dimethyluric acid (17u) 1x 1x 1-methylxanthine (1x) afmu afmu 5-acetylamino-6-formylamino-3-methyluracil (afmu)"
994,PKDB00477,Nakazawa1988,public,closed,3,74,4,448,20,2,[Pharmacokinetics of caffeine and dimethylxanthines in plasma and saliva].,3241301,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) tp theophylline theophylline (13x) tb theobromine theobromine (37x)
995,PKDB00053,Newton1981,public,closed,1,0,5,33,0,0,Plasma and salivary pharmacokinetics of caffeine in man.,7333346,caf caffeine caffeine (137x)
996,PKDB00054,Oh2012,public,closed,1,0,5,243,12,0,High-sensitivity liquid chromatography-tandem mass spectrometry for the simultaneous determination of five drugs and their cytochrome P450-specific probe metabolites in human plasma.,22483397,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) midazolam midazolam midazolam 1-hydroxymidazolam 1-hydroxymidazolam 1-hydroxymidazolam losartan-potassium losartan potassium losartan potassium losartan losartan losartan exp3174 exp3174 losartan carboxylic acid (e3174) omeprazole omeprazole omeprazole 5-hydroxyomeprazole 5-hydroxyomeprazole 5-hydroxyomeprazole dmt dextromethorphan dextromethorphan dtf dextrorphan dextrorphan
997,PKDB00055,Park2003,public,closed,4,30,1,90,0,0,"Validity of the 13C-caffeine breath test as a noninvasive, quantitative test of liver function.",14578861,caf caffeine caffeine (137x)
999,PKDB00057,Patwardhan1980,public,closed,4,0,1,83,3,0,Impaired elimination of caffeine by oral contraceptive steroids.,7359014,caf caffeine caffeine (137x)
1000,PKDB00478,Perera2010,public,closed,1,2,1,79,4,0,Caffeine and paraxanthine HPLC assay for CYP1A2 phenotype assessment using saliva and plasma.,20853468,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x)
1001,PKDB00058,Perera2011,public,closed,3,0,1,229,16,0,"Pharmacokinetics of caffeine in plasma and saliva, and the influence of caffeine abstinence on CYP1A2 metrics.",21827488,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x)
1002,PKDB00479,Priller2005,public,closed,16,12,1,43,0,0,Cytochrome P450 1A2 phenotyping for student laboratories,,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x)
1003,PKDB00480,Puri2020,public,closed,3,5,1,7,0,0,"Is there a sex difference in adult salivary clearance of caffeine (1,3,7-trimethylpurine-2,6-dione)?",32071850,caf caffeine caffeine (137x)
1004,PKDB00059,Renner1984,public,closed,5,36,1,120,0,0,Caffeine: a model compound for measuring liver function.,6420303,caf caffeine caffeine (137x)
1005,PKDB00481,Rietveld1984,public,closed,3,27,2,110,3,0,Rapid onset of an increase in caffeine residence time in young women due to oral contraceptive steroids.,6734698,caf caffeine caffeine (137x)
1007,PKDB00484,Scott1984,public,open,1,52,1,104,0,1,"Determination of caffeine, theophylline and theobromine in serum and saliva using high-performance liquid chromatography.",6712142,caf caffeine caffeine (137x)
1008,PKDB00485,Scott1988,public,closed,5,0,1,12,0,0,Caffeine clearance and biotransformation in patients with chronic liver disease.,3356110,caf caffeine caffeine (137x)
1009,PKDB00486,Scott1989,public,closed,5,29,1,224,6,0,The pharmacokinetics of caffeine and its dimethylxanthine metabolites in patients with chronic liver disease.,2713214,albumin albumin albumin bilirubin bilirubin bilirubin caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x)
1012,PKDB00487,Soto1995,public,closed,1,5,2,72,0,0,Assessment of the time course of drugs with inhibitory effects on hepatic metabolic activity using successive salivary caffeine tests.,8602388,caf caffeine caffeine (137x) cimetidine cimetidine cimetidine
1013,PKDB00061,Spigset1999a,public,closed,1,0,1,20,2,0,The paraxanthine:caffeine ratio in serum or in saliva as a measure of CYP1A2 activity: when should the sample be obtained?,10471076,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x)
1014,PKDB00062,Stille1987,public,closed,1,12,13,432,0,0,Decrease of caffeine elimination in man during co-administration of 4-quinolones.,3480885,caf caffeine caffeine (137x) ciprofloxacin ciprofloxacin ciprofloxacin enoxacin enoxacin enoxacin ofloxacin ofloxacin ofloxacin
1015,PKDB00488,Syed2005,public,closed,5,0,9,198,9,0,Multiple dose pharmacokinetics of caffeine administered in chewing gum to normal healthy volunteers.,16158445,caf caffeine caffeine (137x)
